Date,Amount,Category,Description
2024-12-01,5000,Income,Salary for December
2024-12-02,-150,Food,Groceries
2024-12-03,-200,Utilities,Electricity Bill
2024-12-04,-50,Entertainment,Movie Ticket
2024-12-05,1000,Income,Freelance Project Payment
2024-12-06,-300,Transport,Fuel
2024-12-07,-100,Food,Restaurant Lunch
2024-12-08,-50,Health,Pharmacy Purchase
2024-12-09,-500,Shopping,Clothing
2024-12-10,200,Income,Gift Money
2024-12-11,-120,Food,Groceries
2024-12-12,-30,Entertainment,Music Streaming Subscription
2024-12-13,-60,Health,Gym Membership
2024-12-14,-400,Transport,Taxi Fare
