item_id,sku,item_name,item_cat,item_size,item_price
1,21625688,Velit,Salad,Medium,605.51
2,35393269,Unde,Pasta,Medium,350.57
3,08690494,Nihil,Dessert,Medium,1367.55
4,80681496,Sit,Pizza,Large,383.38
5,40754802,Nemo,Salad,Small,1102.17
6,64981758,Consequuntur,Dessert,Small,818.25
7,86922869,Assumenda,Pasta,Medium,614.09
8,48317733,Repellat,Pizza,Small,1464.42
9,38594557,Odio,Salad,Medium,1381.37
10,15112958,Eligendi,Salad,Small,1255.59
11,20506193,Aspernatur,Salad,Small,959.1
12,10369463,Molestias,Dessert,Large,1196.94
13,33271620,Non,Pizza,Medium,495.86
14,10199374,Voluptate,Pasta,Medium,536.72
15,18281552,Explicabo,Dessert,Medium,987.08
16,01466768,Aliquam,Dessert,Large,1198.5
17,07218286,In,Pizza,Small,541.86
18,73504801,Iste,Pasta,Medium,1295.18
19,40453088,Esse,Dessert,Small,901.94
20,25017342,Libero,Salad,Small,472.87
21,11896760,Aspernatur,Salad,Small,378.68
22,08130464,Beatae,Dessert,Large,565.18
23,04572091,Fuga,Salad,Large,1082.54
24,13610173,Pariatur,Dessert,Medium,648.65
25,26818610,Similique,Pizza,Medium,1061.65
26,48214407,Eos,Pizza,Small,1196.85
27,64795164,Vero,Salad,Medium,909.27
28,52098482,Ut,Pizza,Large,1202.41
29,44393847,Harum,Pizza,Large,1490.06
30,36431274,Iste,Pizza,Large,493.38
31,71648040,Deleniti,Dessert,Medium,1468.98
32,72231807,Quidem,Salad,Large,1469.12
33,32744200,Aliquid,Pizza,Small,1272.28
34,16549654,Totam,Dessert,Small,416.49
35,78825390,Odio,Salad,Small,439.97
36,76674259,Eum,Salad,Medium,1354.43
37,98572373,Maiores,Pasta,Small,1098.77
38,35301820,Ad,Pizza,Small,615.7
39,67170920,Ducimus,Pasta,Small,1195.09
40,52469176,Sapiente,Pizza,Small,441.85
41,67866663,Velit,Dessert,Large,1348.13
42,73231530,Dolorum,Dessert,Large,426.63
43,81547081,Consequatur,Pizza,Small,1085.47
44,46198280,Ipsum,Dessert,Medium,1387.31
45,11207344,Magnam,Pizza,Medium,1094.38
46,26158068,Rem,Pizza,Medium,979.41
47,19437842,Voluptatibus,Dessert,Large,1138.03
48,16583764,A,Pasta,Medium,1065.05
49,65734155,Ducimus,Dessert,Small,1276.4
50,24388979,Eaque,Pizza,Large,1477.29
51,81758692,Ipsa,Salad,Medium,578.12
52,20913021,Labore,Pasta,Large,338.52
53,07929250,Doloremque,Pasta,Small,1193.34
54,98556045,Porro,Pizza,Medium,1117.96
55,87735956,Animi,Pasta,Small,907.08
56,22133700,Natus,Dessert,Large,772.8
57,67190102,Sunt,Salad,Medium,316.31
58,47164888,Eius,Pasta,Small,367.28
59,87801552,Minima,Pizza,Small,1240.59
60,98711031,Atque,Salad,Large,932.61
61,36564286,Pariatur,Dessert,Medium,835.04
62,03166031,Neque,Dessert,Small,367.7
63,84525598,Consequatur,Pizza,Large,994.78
64,75374112,Consectetur,Salad,Small,674.11
65,23606968,Ipsa,Salad,Small,759.67
66,59608530,Temporibus,Pizza,Small,561.84
67,77083562,Rem,Pizza,Large,1216.68
68,96654675,Id,Salad,Small,586.74
69,14442803,Qui,Pasta,Medium,402.66
70,25791280,Ea,Pizza,Medium,919.57
71,10434772,Qui,Dessert,Medium,1064.25
72,22184436,Sit,Salad,Medium,1055.07
73,22269966,Illum,Pizza,Large,1059.11
74,93243995,Quam,Salad,Small,633.79
75,46871411,Possimus,Pasta,Small,701.72
76,88531762,Vel,Dessert,Small,649.69
77,55629645,Explicabo,Dessert,Large,1388.18
78,66566762,Ipsa,Pizza,Small,1145.8
79,75977948,Nam,Pizza,Small,660.88
80,61372320,Nesciunt,Dessert,Medium,1091.17
81,11971443,Quaerat,Dessert,Medium,1082.25
82,54265530,Suscipit,Dessert,Small,837.7
83,02251578,Possimus,Pizza,Small,1412.13
84,62443722,Dolores,Dessert,Large,348.06
85,52961953,Minima,Salad,Large,381.96
86,25228496,Corrupti,Salad,Large,1089.16
87,84686497,Provident,Dessert,Medium,631.15
88,11756767,Vero,Pasta,Medium,579.21
89,91127600,Amet,Dessert,Large,512.5
90,16662308,Adipisci,Salad,Medium,767.37
91,60976550,Saepe,Pizza,Medium,1160.36
92,41149133,Dolor,Pasta,Large,589.52
93,55158008,Est,Pasta,Medium,1364.83
94,29227143,Illo,Dessert,Small,711.99
95,50023400,Inventore,Pizza,Medium,1162.07
96,92702035,Magni,Salad,Large,302.48
97,24993333,Impedit,Dessert,Small,1143.04
98,33620121,Autem,Salad,Large,993.21
99,78773271,Eaque,Salad,Large,1073.06
100,70598209,Aliquid,Pasta,Small,1284.82
101,79631860,Sint,Pizza,Medium,691.05
102,89815618,Rem,Dessert,Large,950.66
103,81115358,Ut,Pizza,Medium,701.55
104,76157394,In,Dessert,Medium,1267.07
105,09922105,Architecto,Salad,Medium,1467.79
106,84410344,Cumque,Pasta,Medium,754.6
107,05072231,Laudantium,Pasta,Medium,695.05
108,90991332,Consequatur,Salad,Medium,307.23
109,37248000,Cum,Dessert,Medium,847.68
110,75783235,Dolorem,Dessert,Medium,377.8
111,14852497,Perferendis,Dessert,Medium,1056.66
112,96480298,Eius,Pasta,Large,931.73
113,61665668,Ipsa,Dessert,Large,380.65
114,03710890,Cum,Dessert,Medium,993.72
115,14415722,Praesentium,Salad,Large,1202.64
116,29184965,Est,Dessert,Small,902.48
117,29877638,Tempore,Pasta,Small,716.11
118,06095291,Sequi,Salad,Large,1277.98
119,01719406,Quisquam,Salad,Large,1232.54
120,54489394,Officia,Pizza,Small,561.02
121,12319602,Dolor,Dessert,Large,1169.83
122,32658217,Fugiat,Pizza,Medium,491.63
123,78007437,Sequi,Pizza,Small,437.31
124,67054510,Nulla,Dessert,Medium,1435.89
125,19279909,Rem,Salad,Large,1016.03
126,97224853,Veniam,Salad,Large,346.23
127,37400040,Voluptates,Pizza,Medium,699.4
128,29926879,Iure,Pizza,Large,1325.28
129,80367017,Magnam,Pizza,Large,460.32
130,29495726,In,Pizza,Medium,511.94
131,82047252,Odit,Dessert,Small,1314.05
132,40695006,Reprehenderit,Dessert,Small,536.98
