shift_id,day_of_week,start_time,end_time
ca5a3903,Sunday,06:52:41,20:01:37
8001a101,Thursday,05:18:08,11:38:35
80a8404a,Tuesday,17:51:33,15:08:10
932ef573,Wednesday,12:24:13,15:19:35
371a9b20,Saturday,04:51:25,16:24:58
cb1f9768,Saturday,18:44:05,17:33:28
6040ef14,Sunday,19:02:40,05:11:29
bb52555d,Friday,04:51:37,09:40:07
4bb21de1,Tuesday,10:24:50,05:56:07
af10471f,Tuesday,11:21:09,12:20:22
ab2fdd5b,Friday,04:20:16,16:52:54
80db1e48,Wednesday,08:46:03,21:11:12
fcb30b5b,Saturday,09:50:13,22:22:02
c5ac36af,Wednesday,07:03:07,00:27:15
52504d61,Thursday,07:56:33,21:55:07
c5926514,Sunday,02:55:10,07:15:50
fce6122f,Friday,10:19:17,03:03:42
6511f460,Sunday,19:30:59,20:02:01
3915318d,Tuesday,06:53:28,10:04:56
13a0a98a,Saturday,02:01:02,06:57:56
60b02eb9,Wednesday,18:19:57,10:05:15
9c9a8007,Saturday,10:43:20,07:03:37
94ddd834,Friday,13:05:40,09:17:48
edc492d7,Friday,22:19:21,08:14:12
79e5ed89,Monday,20:00:22,00:50:10
90bf838d,Saturday,20:29:44,05:28:52
0957caa2,Wednesday,09:40:42,09:22:27
c051839e,Sunday,13:01:14,21:58:49
7df1726b,Saturday,12:19:34,00:09:51
60634f95,Tuesday,20:38:38,16:12:34
1dec3abe,Saturday,15:17:36,10:03:26
37ac408b,Saturday,20:33:21,10:52:00
68c655ae,Thursday,16:37:43,03:12:08
990def20,Sunday,06:50:21,10:24:50
1d6c0b09,Tuesday,10:28:44,00:52:27
ecd41ed2,Wednesday,22:21:41,17:21:15
a1626d4e,Wednesday,13:49:47,00:43:34
cbff750d,Tuesday,18:25:41,22:08:28
383175c0,Saturday,21:38:54,05:54:29
0cfbb058,Wednesday,18:53:10,09:54:44
aba4c3d2,Monday,11:08:05,03:50:00
43bd045a,Sunday,01:38:54,18:59:03
bb686ff7,Monday,13:13:59,00:56:57
8b57ad5e,Tuesday,14:28:51,07:49:12
11c8f623,Wednesday,11:12:26,01:56:33
ce348f8d,Wednesday,10:22:00,03:20:29
a9bf001b,Sunday,14:34:25,10:45:55
1c8d0d63,Saturday,22:54:26,10:07:24
7ad2b2e4,Thursday,12:33:02,12:44:24
fb2e4ba0,Saturday,15:06:31,23:39:29
ca7847d8,Monday,21:19:20,12:30:05
c93639a5,Thursday,02:56:52,02:51:28
4a548f0e,Wednesday,12:05:44,18:23:51
def41465,Wednesday,00:14:12,07:18:34
9e14a780,Sunday,10:56:14,03:37:04
d6f50633,Thursday,18:19:18,19:34:02
e40170d3,Saturday,23:47:12,02:15:05
e261035d,Monday,04:00:48,20:09:51
1a54c741,Wednesday,17:12:16,20:16:55
ab8e0a28,Monday,23:06:21,21:14:17
0ddb498b,Monday,03:44:16,19:57:43
f6a8a77a,Saturday,17:14:49,17:38:04
c9d4045b,Sunday,15:19:40,08:56:04
61ffe49a,Thursday,00:45:18,22:51:37
c008b68e,Saturday,03:36:40,23:09:10
d9f49166,Saturday,19:01:35,20:36:09
aa73e03f,Wednesday,23:59:40,05:50:20
5ebafffa,Saturday,09:13:33,21:03:17
8ad5a947,Tuesday,19:17:20,19:50:10
6f1e4e46,Friday,15:08:37,21:11:58
c98adf9a,Monday,13:27:29,08:06:32
b5f727b6,Saturday,00:02:02,00:47:43
92245abb,Tuesday,15:47:44,23:15:29
541612af,Sunday,19:17:23,22:08:58
83138031,Thursday,00:46:53,00:57:05
db716d58,Friday,01:58:08,13:00:08
a9485b31,Friday,15:45:30,04:17:02
05f2dd14,Thursday,07:43:51,02:34:11
84fdc222,Sunday,05:51:06,23:11:57
cbcd1a4c,Sunday,12:14:44,08:22:38
f9c6e52a,Wednesday,02:57:43,01:14:22
83190f01,Friday,15:17:25,19:27:18
d21c8008,Wednesday,05:35:11,17:48:28
