ing_id,ing_name,ing_weight,ing_meas,ing_price
1,Parmesan Cheese,427.03,L,108.32
2,Olives,376.63,g,80.45
3,Onions,287.23,g,130.45
4,Garlic,462.22,g,45.55
5,Garlic,152.25,g,102.2
6,Mushrooms,112.26,g,174.42
7,Mozzarella Cheese,325.86,kg,77.16
8,Sun-dried Tomatoes,112.48,L,74.92
9,Mushrooms,83.99,g,115.37
10,Parmesan Cheese,93.45,g,55.43
11,Anchovies,437.07,g,102.43
12,Basil,227.07,L,52.42
13,Mushrooms,156.34,L,119.57
14,Pesto,476.9,L,121.7
15,Ham,212.36,L,70.54
16,Pesto,211.26,L,184.22
17,Arugula,444.29,L,57.75
18,Feta Cheese,462.79,L,122.05
19,Onions,294.49,g,157.1
20,Feta Cheese,183.04,L,110.85
21,Parmesan Cheese,173.38,L,71.62
22,Sausage,240.5,ml,163.27
23,Basil,372.41,g,26.56
24,Olives,417.33,ml,77.89
25,Sun-dried Tomatoes,166.3,kg,106.42
26,Cheddar Cheese,414.72,g,80.68
27,Pineapple,97.14,g,74.08
28,Barbecue Sauce,96.01,g,19.49
29,Ricotta Cheese,422.86,g,171.93
30,Pineapple,66.13,kg,162.07
31,Sun-dried Tomatoes,490.45,ml,198.01
32,Barbecue Sauce,456.81,ml,19.44
33,Feta Cheese,258.94,ml,184.62
34,Sun-dried Tomatoes,414.12,g,69.04
35,Onions,82.27,L,162.96
36,Ricotta Cheese,456.28,L,196.7
37,Feta Cheese,246.48,L,190.34
38,Cheddar Cheese,436.71,L,151.02
39,Basil,54.3,L,141.04
40,Garlic,52.77,L,126.84
41,Parmesan Cheese,321.35,kg,138.36
42,Artichokes,371.93,L,57.92
43,Onions,424.92,ml,98.18
44,Mozzarella Cheese,312.14,g,41.23
45,Tomato,104.39,kg,130.04
46,Chicken,201.44,L,66.83
47,Pepperoni,370.04,g,129.66
48,Artichokes,317.22,ml,139.54
49,Arugula,196.44,L,115.86
50,Cheddar Cheese,420.49,g,177.08
51,Tomato,162.21,kg,52.71
52,Barbecue Sauce,126.03,g,148.54
53,Pesto,104.22,kg,50.45
54,Cheddar Cheese,109.71,kg,138.05
55,Sausage,346.88,ml,169.45
56,Spinach,375.01,ml,24.19
57,Ricotta Cheese,475.79,kg,132.68
58,Bell Peppers,245.22,ml,70.44
59,Pesto,495.97,L,136.91
60,Onions,284.3,L,34.12
61,Bacon,344.37,L,190.28
62,Ricotta Cheese,54.1,L,169.52
63,Ricotta Cheese,71.34,g,55.14
64,Pineapple,408.06,L,134.61
65,Feta Cheese,280.68,kg,98.94
66,Tomato,387.46,kg,58.8
67,Chicken,401.27,g,188.63
68,Pineapple,481.18,g,143.44
69,Sausage,418.68,L,179.3
70,Bacon,447.26,kg,169.43
71,Mozzarella Cheese,113.38,L,73.66
72,Spinach,339.12,kg,148.63
73,Pineapple,497.47,L,176.11
74,Artichokes,466.48,L,86.86
75,Chicken,241.62,g,148.05
76,Mushrooms,154.96,g,199.04
77,Onions,147.65,L,197.39
78,Barbecue Sauce,186.3,ml,124.2
79,Tomato,430.12,ml,49.62
80,Parmesan Cheese,353.84,ml,25.81
81,Artichokes,234.32,kg,150.07
82,Spinach,392.77,kg,45.42
83,Cheddar Cheese,88.6,kg,31.33
84,Sausage,455.89,L,170.85
85,Ricotta Cheese,100.83,ml,138.23
86,Sun-dried Tomatoes,359.59,ml,180.16
87,Spinach,421.66,L,147.25
88,Ricotta Cheese,397.53,g,165.64
89,Artichokes,289.64,L,171.42
90,Pesto,79.2,ml,91.63
91,Pesto,123.12,kg,99.77
92,Sun-dried Tomatoes,283.62,g,60.56
93,Ham,265.28,g,180.92
94,Barbecue Sauce,472.65,ml,137.37
95,Artichokes,212.94,L,113.0
96,Mushrooms,91.8,kg,143.3
97,Anchovies,103.37,ml,164.77
98,Tomato,224.15,g,76.58
99,Cheddar Cheese,449.75,g,171.58
100,Chicken,473.22,kg,122.96
101,Feta Cheese,356.08,g,172.5
102,Pineapple,78.6,ml,91.58
103,Ricotta Cheese,212.74,g,125.63
104,Garlic,475.56,ml,29.24
105,Arugula,274.09,kg,74.57
106,Barbecue Sauce,296.51,kg,30.62
107,Arugula,475.97,kg,116.52
108,Tomato,288.27,g,19.84
109,Spinach,201.76,L,126.91
110,Anchovies,453.52,kg,30.17
111,Pineapple,128.81,ml,52.61
112,Chicken,204.64,L,71.67
113,Pineapple,373.99,g,113.2
114,Parmesan Cheese,372.89,g,12.41
115,Barbecue Sauce,337.0,L,188.82
116,Ham,87.95,g,92.14
117,Anchovies,289.97,ml,123.14
118,Sausage,431.3,kg,163.23
119,Mozzarella Cheese,253.68,g,35.78
120,Sausage,390.02,L,157.8
121,Cheddar Cheese,440.39,ml,52.23
122,Ham,462.14,ml,197.05
123,Onions,389.82,L,40.35
124,Sun-dried Tomatoes,359.24,g,60.27
125,Chicken,483.82,kg,23.99
126,Barbecue Sauce,123.7,L,56.09
127,Artichokes,230.2,L,74.72
128,Feta Cheese,276.17,kg,198.92
129,Mozzarella Cheese,174.41,g,40.47
130,Bacon,420.18,kg,169.87
131,Parmesan Cheese,246.87,ml,108.7
132,Pepperoni,325.05,kg,61.14
133,Anchovies,243.88,kg,185.9
134,Chicken,176.82,ml,151.29
135,Mozzarella Cheese,66.98,L,62.43
136,Chicken,132.48,ml,51.58
137,Ham,431.79,ml,143.39
138,Artichokes,280.08,kg,104.56
139,Sausage,458.99,kg,195.78
140,Barbecue Sauce,158.33,g,147.09
141,Bell Peppers,363.49,L,142.52
142,Olives,71.34,g,51.43
143,Anchovies,212.28,ml,19.21
144,Anchovies,100.68,kg,177.39
145,Parmesan Cheese,72.95,kg,117.38
146,Bell Peppers,204.56,g,67.41
147,Pineapple,499.49,ml,124.38
148,Feta Cheese,95.31,L,167.16
149,Ricotta Cheese,488.92,kg,121.43
150,Chicken,177.49,ml,42.67
151,Feta Cheese,77.0,ml,41.59
152,Pepperoni,91.95,L,27.56
153,Barbecue Sauce,215.39,kg,172.08
154,Pesto,318.49,ml,180.36
155,Parmesan Cheese,475.69,L,62.79
156,Spinach,125.78,kg,149.69
157,Mushrooms,249.75,g,156.2
158,Ricotta Cheese,401.15,L,135.51
159,Spinach,440.62,g,29.08
160,Arugula,390.78,ml,13.68
161,Garlic,129.82,g,188.72
162,Olives,77.52,g,57.75
163,Bell Peppers,133.12,ml,171.72
164,Sun-dried Tomatoes,382.59,g,111.98
165,Mozzarella Cheese,305.23,kg,37.95
166,Mozzarella Cheese,124.19,g,192.2
167,Mushrooms,405.21,ml,32.57
168,Pepperoni,489.87,kg,167.49
169,Chicken,466.32,g,154.22
170,Cheddar Cheese,65.41,kg,119.67
171,Arugula,336.24,kg,86.8
172,Tomato,254.33,L,165.16
173,Anchovies,191.6,L,45.13
174,Arugula,435.78,L,36.33
175,Basil,118.31,L,99.04
176,Spinach,313.79,kg,77.74
177,Sausage,270.27,L,22.49
178,Ham,133.19,ml,45.63
179,Tomato,361.44,kg,12.63
180,Sausage,337.22,g,138.41
181,Tomato,227.88,g,83.77
182,Ricotta Cheese,317.42,g,115.54
183,Tomato,250.77,ml,180.14
184,Onions,55.22,kg,117.89
185,Sausage,87.5,g,84.31
186,Pepperoni,213.68,ml,132.45
187,Basil,181.23,L,44.38
188,Olives,170.34,g,73.95
189,Barbecue Sauce,158.14,L,112.61
190,Sausage,130.8,g,124.39
191,Anchovies,277.57,ml,121.81
192,Mushrooms,158.56,L,24.24
193,Parmesan Cheese,279.3,L,104.62
194,Cheddar Cheese,266.69,g,48.89
195,Bell Peppers,64.81,ml,72.31
196,Bacon,484.69,kg,190.44
197,Chicken,350.58,ml,196.6
198,Mushrooms,139.15,g,105.71
199,Bacon,243.39,L,136.03
