inv_id,item_id,quantity
1,233,153
2,713,98
3,150,93
4,946,112
5,607,95
6,652,91
7,647,95
8,349,154
9,568,131
10,928,76
11,582,171
12,671,58
13,985,195
14,953,62
15,364,62
16,251,141
17,412,179
18,63,123
19,661,80
20,950,120
21,601,122
22,349,58
23,662,92
24,396,113
25,99,196
26,367,146
27,657,55
28,798,183
29,369,101
30,859,76
31,431,151
32,75,142
33,268,193
34,693,185
35,889,52
36,532,166
37,376,144
38,889,83
39,155,191
40,605,124
41,879,71
42,901,62
43,645,196
44,643,182
45,831,133
46,732,191
47,578,71
48,364,112
49,22,114
50,185,111
51,659,137
52,169,86
53,262,84
54,681,197
55,373,170
56,374,93
57,259,167
58,241,188
59,456,175
60,924,108
61,816,79
62,444,133
63,91,76
64,534,112
65,283,56
66,68,184
67,990,197
68,403,68
69,965,167
70,676,193
71,980,156
72,547,183
73,933,176
74,724,177
75,957,74
76,963,165
77,335,162
78,236,75
79,12,58
80,708,146
81,824,95
82,955,186
83,393,108
84,507,139
85,773,120
86,621,136
87,218,105
88,935,172
89,723,180
90,736,93
91,167,146
92,905,79
93,489,118
94,627,152
95,968,171
96,536,192
97,782,157
98,565,50
99,243,186
100,553,76
101,943,90
102,448,153
103,181,108
104,423,186
105,921,174
106,217,182
107,41,183
108,420,127
109,185,113
110,303,60
111,641,195
112,136,191
113,910,122
114,85,99
115,455,174
116,840,82
117,547,94
118,482,78
119,17,157
120,452,93
121,670,136
122,39,92
123,228,195
124,704,76
125,414,170
126,177,52
127,611,121
128,510,149
129,511,180
130,510,177
131,745,184
132,460,90
133,357,76
134,667,85
135,651,154
136,760,96
137,624,169
138,550,123
139,973,64
140,736,160
141,558,166
142,96,81
143,350,155
144,928,145
145,916,108
146,615,88
147,555,162
148,679,131
149,964,134
150,803,188
151,334,82
152,982,154
153,393,78
154,486,57
155,17,166
156,81,100
157,361,175
158,583,168
159,463,53
160,958,196
161,108,159
162,361,169
163,739,101
164,538,141
165,257,120
166,185,119
167,974,71
168,837,139
169,936,171
170,858,134
171,490,68
172,980,134
173,96,165
174,363,87
175,225,147
176,76,192
177,227,178
178,551,89
179,45,184
180,24,97
181,969,151
182,625,93
183,994,185
184,721,124
185,216,74
186,679,140
187,9,53
188,372,99
189,960,64
190,890,85
191,243,69
192,16,188
193,738,59
194,462,66
195,349,54
196,662,93
197,782,115
198,735,144
199,930,188
200,368,191
201,855,96
202,100,137
203,487,127
204,738,144
205,91,193
206,323,147
207,227,52
208,766,93
209,510,176
210,510,60
211,458,131
212,227,137
213,407,152
214,794,81
215,91,183
216,901,196
217,248,97
218,865,60
219,335,111
220,792,81
221,134,64
222,61,92
223,238,167
224,571,169
225,400,195
226,695,142
227,33,135
228,248,111
229,959,156
230,497,82
231,865,159
232,13,153
233,937,158
234,556,85
235,206,120
236,236,152
237,335,155
238,626,84
239,160,71
240,676,90
241,502,145
242,322,174
243,485,105
244,698,124
245,600,110
246,922,124
247,874,171
248,146,56
249,760,182
250,360,123
251,127,95
252,873,197
253,250,126
254,573,127
255,76,67
256,273,62
257,845,151
258,522,106
259,783,121
260,516,83
261,702,74
262,319,87
263,419,135
264,255,163
265,919,162
266,876,53
267,924,187
268,397,92
269,17,177
270,367,91
271,1,193
272,748,94
273,658,192
274,196,180
275,710,67
276,218,89
277,244,112
278,745,165
279,895,116
280,131,169
281,429,52
282,369,178
283,421,185
284,238,140
285,69,54
286,164,85
287,682,149
288,281,140
289,738,114
290,35,175
291,583,121
292,410,127
293,298,195
294,495,78
295,838,156
296,362,59
297,513,165
298,206,89
299,186,200
300,491,79
301,114,80
302,992,138
303,461,197
304,396,154
305,778,90
306,534,101
307,488,170
308,711,57
309,790,174
310,803,198
311,682,120
312,556,108
313,202,185
314,293,199
315,309,93
316,788,81
317,534,137
318,946,61
319,206,187
320,558,188
321,911,165
322,334,174
323,90,134
324,547,109
325,380,193
326,314,78
327,633,126
328,638,160
329,287,54
330,359,72
331,363,119
332,273,109
333,932,104
334,175,136
335,872,53
336,328,198
337,164,145
338,148,180
339,398,69
340,250,156
341,710,76
342,83,197
343,202,153
344,409,198
345,382,189
346,637,190
347,336,125
348,944,52
349,376,100
350,110,102
351,797,96
352,619,166
353,620,175
354,443,131
355,939,161
356,847,129
357,909,123
358,757,189
359,44,92
360,782,171
361,776,91
362,928,102
363,996,167
364,43,141
365,453,175
366,346,122
367,323,69
368,294,186
369,499,108
370,616,132
371,204,59
372,253,79
373,966,164
374,378,125
375,24,108
376,196,68
377,219,159
378,453,120
379,647,94
380,326,63
381,916,80
382,745,133
383,331,134
384,927,178
385,506,126
386,204,99
387,991,146
388,163,96
389,318,121
390,380,129
391,945,134
392,789,59
393,872,176
394,713,193
395,407,144
396,48,56
397,772,172
398,288,173
399,65,103
400,324,61
401,348,76
402,625,82
403,63,172
404,553,174
405,877,145
406,312,105
407,248,199
408,989,101
409,402,79
410,434,60
411,317,200
412,824,56
413,158,134
414,466,157
415,550,88
416,601,157
417,123,166
418,474,81
419,286,141
420,567,98
421,744,51
422,744,174
423,9,127
424,508,122
425,97,172
426,902,61
427,612,93
428,889,129
429,306,78
430,91,59
431,66,87
432,773,163
433,607,141
434,338,114
435,2,151
436,529,122
437,579,150
438,761,100
439,351,95
440,109,182
441,679,126
442,39,67
443,199,87
444,116,185
445,259,200
446,563,111
447,796,120
448,826,53
449,347,177
450,308,98
451,682,145
452,1000,80
453,71,97
454,454,123
455,652,189
