row_id,recipe_id,ing_id,quantity
1,db50a382,944,150
2,8660a374,880,499
3,3754d47b,4,423
4,dbd470db,502,184
5,01a251d6,472,477
6,309e9f80,480,381
7,6dde91d8,749,357
8,ad42ff29,741,428
9,bd4d48fe,12,95
10,d7c9dbeb,677,153
11,b5c938d4,149,251
12,25ba1f35,770,417
13,82f454a7,773,355
14,867005d5,317,52
15,332bf816,622,215
16,8ba84343,484,438
17,6e27bb90,619,352
18,b2555536,890,237
19,d15fc397,593,76
20,774434c4,591,410
21,9acf964a,918,327
22,52b6b448,691,230
23,e90c0ecb,366,135
24,379522d5,606,318
25,00368671,781,203
26,fa885a64,187,69
27,c85bcf8b,666,165
28,01da0956,217,126
29,f5e3aa52,315,467
30,9152e67a,796,53
31,0d44e239,536,274
32,5e076f72,33,220
33,92030327,910,166
34,c96d9bb8,744,364
35,9cf24b1e,924,470
36,714dd49c,713,60
37,989d584e,460,334
38,cb4ab1f2,418,323
39,99950b62,185,319
40,2c5118bd,476,128
41,97f924c0,541,229
42,9c916019,57,326
43,0b80d815,678,259
44,29fcdde3,934,355
45,2115616f,849,135
46,e2996252,171,421
47,dbded012,143,98
48,07cd4e79,779,94
49,ecc62fb5,249,121
50,83a397fc,914,136
51,95f5914d,34,254
52,5bbcb6dc,965,233
53,ccefac34,473,97
54,8eb63419,727,208
55,4e7ceacd,969,280
56,2dbcdb32,804,385
57,d0e61fca,54,137
58,1a996b11,728,334
59,d352974f,502,276
60,c4fffbca,434,393
61,ef21284c,208,254
62,1f90524e,22,251
63,4207caa5,195,64
64,5e4e2e79,774,144
65,488bc75d,321,434
66,76e7e9e2,978,353
67,1cddaab9,949,390
68,cb560917,986,389
69,84598290,208,282
70,c7f8df8a,216,262
71,f05b2012,257,183
72,2858592a,993,204
73,88b8cd4d,735,148
74,1ad1087d,647,162
75,50b481b0,742,289
76,f94773c7,88,374
77,5fb9c6a2,222,364
78,f64faad2,855,417
79,6c601ed2,679,221
80,7d7cb106,709,229
81,c8bec468,842,348
82,aa874b12,705,305
83,5e71a2b5,783,406
84,f66b033c,232,347
85,8d1b1cc4,55,368
86,141cec9f,181,338
87,c5195d7b,250,123
88,3cdb7f22,683,88
89,101e27f3,517,419
90,1aa6c559,97,404
91,ee0a2643,957,129
92,f2e79914,786,488
93,c3d0b2ae,247,174
94,fbf43c24,603,147
95,88222896,976,445
96,af4fb7b0,403,431
97,c2c17e17,246,236
98,fac8e897,325,456
99,7f81fea4,5,56
100,f9e8974a,73,185
101,5db5efc1,365,370
102,e014f1dc,499,372
103,4ab7c1d8,614,454
104,41df0ee8,985,217
105,e6c35ded,700,335
106,b1e66347,193,296
107,85fa4081,375,364
108,f75ced87,462,281
109,f6ae2d7d,96,279
110,29f2df23,667,180
111,28c72bc6,428,245
