row_id,rota_id,date,shift_id,staff_id
1,bacc6f1d,2025-01-04,871,96
2,923a15df,2025-01-03,544,25
3,7addfdba,2025-01-01,279,9
4,ba275722,2025-01-01,901,10
5,8e46636c,2025-01-02,269,13
6,c3750110,2025-01-07,964,49
7,fccc6399,2025-01-07,84,22
8,e41eba55,2025-01-03,708,60
9,06905916,2025-01-01,672,9
10,8bd19222,2025-01-01,539,99
11,18357c9d,2025-01-08,118,89
12,e109f7c4,2025-01-04,497,48
13,d1bd4d16,2025-01-02,274,27
14,be58365a,2025-01-09,77,40
15,f3a877ae,2025-01-07,141,41
16,dd883ddd,2025-01-01,516,3
17,b773d02d,2025-01-06,911,54
18,e81bf504,2025-01-04,550,44
19,d4b2c702,2025-01-08,282,1
20,098e2972,2025-01-08,416,13
21,5c1edb2d,2025-01-07,680,95
22,5cebdd48,2025-01-03,404,71
23,91d86fd0,2025-01-07,113,24
24,3fc0badd,2025-01-08,314,22
25,8a174c25,2025-01-05,941,67
26,a65ff83c,2025-01-01,420,70
27,afa84ad3,2025-01-02,815,95
28,767d131c,2025-01-03,466,12
29,66bf36db,2025-01-03,418,78
30,dbdc8c8f,2025-01-02,820,76
31,920c2ddf,2025-01-09,172,22
32,c67ff509,2025-01-01,972,99
33,a6acce07,2025-01-01,590,67
34,211ee688,2025-01-05,322,86
35,9e2df554,2025-01-05,727,33
36,992dc5b5,2025-01-06,21,79
37,21849e88,2025-01-06,501,59
38,12c9e42c,2025-01-07,325,3
39,7e641096,2025-01-07,446,85
40,35c4600b,2025-01-04,738,85
41,419f10b5,2025-01-04,138,10
42,a02be5b4,2025-01-07,215,23
43,db236809,2025-01-09,46,76
44,ab47c294,2025-01-09,100,54
45,1002ef9f,2025-01-02,471,23
46,ab6ee6fa,2025-01-04,249,35
47,45d3cd15,2025-01-06,277,90
48,f8d38e6f,2025-01-02,592,81
49,94b069f7,2025-01-03,658,82
50,420646e3,2025-01-05,153,54
51,8906d4ba,2025-01-06,82,97
52,05fbdc38,2025-01-09,933,80
53,93ce6ebc,2025-01-02,443,78
54,b8ac08ca,2025-01-08,865,100
55,8114a9b8,2025-01-08,227,97
56,ccd35127,2025-01-03,251,40
57,b12f1ead,2025-01-06,477,59
58,075bd7f7,2025-01-08,638,4
59,fb09eece,2025-01-05,646,2
60,ce4ef6c3,2025-01-02,303,44
61,7ec4d7d2,2025-01-01,533,32
62,3c0b06bd,2025-01-01,762,47
63,e73235e5,2025-01-04,120,55
64,5687c3f7,2025-01-09,223,9
65,b75d92b4,2025-01-02,463,72
66,a1d0e3e8,2025-01-05,857,14
67,ff99280e,2025-01-02,193,91
68,8a7d9794,2025-01-09,911,4
69,eb86db10,2025-01-04,461,57
70,f0a36fc4,2025-01-07,548,6
71,2d54e134,2025-01-09,227,64
72,5426d764,2025-01-03,715,50
73,7f933a50,2025-01-08,620,60
74,d9d20b33,2025-01-01,334,75
75,bb419d6e,2025-01-07,771,27
76,5eb227fa,2025-01-08,216,99
77,a764583a,2025-01-01,686,42
78,ca594887,2025-01-06,214,77
79,8eb2005a,2025-01-04,416,99
80,7759a2a0,2025-01-05,40,98
81,cbdef1cc,2025-01-04,946,24
82,4beafe8d,2025-01-03,770,60
83,f3a95942,2025-01-07,78,33
84,bdab249e,2025-01-06,386,45
85,feaf4a25,2025-01-01,147,80
86,02a4b27f,2025-01-06,804,55
87,e6bc8cee,2025-01-07,854,61
88,bece2ba7,2025-01-01,118,42
89,901234ba,2025-01-01,629,37
90,b335b393,2025-01-08,693,33
91,bbdb5f67,2025-01-08,640,81
92,e900e502,2025-01-05,238,17
93,086ba534,2025-01-01,398,6
94,bff049c3,2025-01-03,222,100
95,9eba4ff8,2025-01-05,399,47
96,c8ab175c,2025-01-08,794,47
97,0da35700,2025-01-08,122,32
98,7d29fd20,2025-01-06,726,25
99,90b3aa39,2025-01-07,921,82
100,6d6349a3,2025-01-05,350,30
101,c2abf1a5,2025-01-07,120,75
102,04319a39,2025-01-04,454,28
103,90a524dc,2025-01-01,718,8
104,39083fbe,2025-01-09,358,51
105,f46b3a01,2025-01-09,434,76
106,56487b3a,2025-01-05,700,73
107,c2e24a10,2025-01-05,864,17
108,34b0e82b,2025-01-02,503,5
109,a40febba,2025-01-08,540,68
110,5664197b,2025-01-03,31,63
111,c2d6b390,2025-01-07,467,80
112,9659ae64,2025-01-01,853,44
113,569b5474,2025-01-02,591,48
114,e4a0a3c7,2025-01-08,181,8
115,539877c0,2025-01-06,235,28
116,6a40a960,2025-01-06,757,47
117,210392f6,2025-01-09,549,42
118,0fd114ac,2025-01-05,60,87
119,16d1fa61,2025-01-01,709,98
120,37940047,2025-01-07,107,57
121,1bd7e947,2025-01-04,351,91
122,7be51039,2025-01-01,8,90
123,d7be5757,2025-01-06,25,89
124,674238d9,2025-01-08,706,68
125,774af8de,2025-01-09,577,4
126,5f53aae3,2025-01-09,741,39
127,64777978,2025-01-05,250,46
128,5ec788ee,2025-01-01,98,8
129,1af187ce,2025-01-06,124,28
130,e1b18f07,2025-01-02,525,66
131,4e5048e6,2025-01-05,728,37
132,25485cfa,2025-01-09,61,58
133,ee878076,2025-01-03,266,22
134,ec769f4e,2025-01-09,335,37
135,24a8a495,2025-01-03,340,9
136,18471b4e,2025-01-07,694,87
137,1a56199f,2025-01-02,346,58
138,ac685f75,2025-01-04,471,63
139,f4648507,2025-01-06,307,71
140,5499c765,2025-01-07,514,23
141,ee40b8c7,2025-01-07,538,86
142,476d24ca,2025-01-05,551,81
143,ae1a05ac,2025-01-09,945,35
144,364ab9b3,2025-01-09,376,30
145,b2e71db2,2025-01-01,99,99
146,8c40eebc,2025-01-04,815,35
147,16bead93,2025-01-03,347,28
148,5197b9ea,2025-01-02,245,43
149,1fd9f5b5,2025-01-02,797,30
150,9c42796c,2025-01-04,169,91
151,b69d57a6,2025-01-06,564,59
152,5228fb43,2025-01-06,739,94
153,cd425fbb,2025-01-01,218,76
154,8984bd37,2025-01-05,987,7
155,68284cd2,2025-01-08,943,84
156,72e647ef,2025-01-06,658,32
157,c1a289b3,2025-01-01,102,89
158,d14f995b,2025-01-08,670,73
159,78d6f6f0,2025-01-06,745,10
160,b7977e35,2025-01-02,305,83
161,2316ca2f,2025-01-09,499,99
162,bfce0640,2025-01-05,658,19
163,2dfba89d,2025-01-08,253,35
164,f226acf7,2025-01-04,916,98
165,ce343c63,2025-01-04,948,38
166,01b233a5,2025-01-02,92,12
167,1343402c,2025-01-09,493,83
168,0dc7de9b,2025-01-04,58,70
169,5847c785,2025-01-04,275,30
170,1450547a,2025-01-03,61,30
